[2024-08-04T21:08:44.202+0300][0.005s][info][gc] Using G1
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ConcGCThreads: 3 offset 22
[2024-08-04T21:08:44.203+0300][0.006s][debug][gc] ParallelGCThreads: 10
[2024-08-04T21:08:44.203+0300][0.007s][debug][gc] Initialize mark stack with 4096 chunks, maximum 524288
[2024-08-04T21:08:46.181+0300][1,984s][info ][gc] GC(63) Pause Young (Normal) (G1 Evacuation Pause) 235M->223M(256M) 4,159ms
[2024-08-04T21:08:46.184+0300][1,987s][info ][gc] GC(55) Pause Cleanup 229M->229M(256M) 0,136ms
[2024-08-04T21:08:46.184+0300][1,988s][info ][gc] GC(55) Concurrent Mark Cycle 212,134ms
[2024-08-04T21:08:46.190+0300][1,994s][info ][gc] GC(64) Pause Young (Prepare Mixed) (G1 Evacuation Pause) 235M->226M(256M) 3,893ms
[2024-08-04T21:08:46.198+0300][2,002s][info ][gc] GC(65) Pause Young (Mixed) (G1 Evacuation Pause) 236M->228M(256M) 3,512ms
[2024-08-04T21:08:46.206+0300][2,010s][info ][gc] GC(66) Pause Young (Concurrent Start) (G1 Evacuation Pause) 238M->230M(256M) 3,332ms
[2024-08-04T21:08:46.207+0300][2,010s][info ][gc] GC(67) Concurrent Mark Cycle
[2024-08-04T21:08:46.215+0300][2,018s][info ][gc] GC(68) Pause Young (Normal) (G1 Evacuation Pause) 240M->233M(256M) 2,876ms
[2024-08-04T21:08:46.223+0300][2,026s][info ][gc] GC(69) Pause Young (Normal) (G1 Evacuation Pause) 243M->235M(256M) 3,080ms
[2024-08-04T21:08:46.232+0300][2,036s][info ][gc] GC(70) Pause Young (Normal) (G1 Evacuation Pause) 245M->237M(256M) 3,793ms
[2024-08-04T21:08:46.240+0300][2,044s][info ][gc] GC(71) Pause Young (Normal) (G1 Evacuation Pause) 247M->239M(256M) 3,064ms
[2024-08-04T21:08:46.249+0300][2,053s][info ][gc] GC(72) Pause Young (Normal) (G1 Evacuation Pause) 249M->241M(256M) 3,136ms
[2024-08-04T21:08:46.259+0300][2,062s][info ][gc] GC(73) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 251M->250M(256M) 4,165ms
[2024-08-04T21:08:46.263+0300][2,067s][info ][gc] GC(74) Pause Young (Normal) (G1 Evacuation Pause) (Evacuation Failure) 253M->254M(256M) 2,044ms
[2024-08-04T21:08:46.263+0300][2,067s][debug][gc] GC(75) Clear Bitmap 0,200ms
[2024-08-04T21:08:46.399+0300][2,203s][info ][gc] GC(75) Pause Full (G1 Compaction Pause) 254M->228M(256M) 136,315ms
[2024-08-04T21:08:46.400+0300][2,203s][info ][gc] GC(67) Concurrent Mark Cycle 193,021ms
[2024-08-04T21:08:46.406+0300][2,210s][info ][gc] GC(76) Pause Young (Normal) (G1 Evacuation Pause) 240M->230M(256M) 2,247ms
[2024-08-04T21:08:46.414+0300][2,218s][info ][gc] GC(77) Pause Young (Concurrent Start) (G1 Evacuation Pause) 240M->232M(256M) 2,828ms
[2024-08-04T21:08:46.414+0300][2,218s][info ][gc] GC(78) Concurrent Mark Cycle
[2024-08-04T21:08:46.422+0300][2,225s][info ][gc] GC(79) Pause Young (Normal) (G1 Evacuation Pause) 242M->234M(256M) 2,442ms
[2024-08-04T21:08:46.430+0300][2,233s][info ][gc] GC(80) Pause Young (Normal) (G1 Evacuation Pause) 244M->236M(256M) 2,642ms
[2024-08-04T21:08:46.437+0300][2,241s][info ][gc] GC(81) Pause Young (Normal) (G1 Evacuation Pause) 246M->238M(256M) 2,597ms
[2024-08-04T21:08:46.478+0300][2,281s][info ][gc] GC(82) Pause Young (Normal) (G1 Evacuation Pause) 248M->237M(256M) 1,426ms
[2024-08-04T21:08:46.489+0300][2,293s][debug][gc] GC(78) Expanded mark stack capacity from 4096 to 8192 chunks
[2024-08-04T21:08:46.492+0300][2,296s][info ][gc] GC(83) Pause Young (Normal) (G1 Evacuation Pause) 247M->239M(256M) 2,653ms
